,name,day,S,E,I,R
218,Tholikkodu__Thiruvananthapuram,3,25273.99943666446,0.00039709533852918004,0.0001568303772949089,9.409822664180189e-06
219,Uzhamalakkal__Thiruvananthapuram,3,21471.999216423977,0.000551860639883955,0.00021859941791755686,1.3115965135622328e-05
220,Vakkam__Thiruvananthapuram,3,16532.99992985309,4.951759659753287e-05,1.9461616436143703e-05,1.1676969867921134e-06
221,Vamanpuram__Thiruvananthapuram,3,21037.9998018383,0.00013973576891799464,5.511880018266699e-05,3.307128014890261e-06
222,Varkala(M)__Thiruvananthapuram,3,40047.99973989747,0.00018333475673945225,7.242242768925817e-05,4.345345664919917e-06
223,Vellanad__Thiruvananthapuram,3,31155.998777146713,0.0008611843594642907,0.00034119710260447115,2.0471826257961787e-05
224,Vellarada__Thiruvananthapuram,3,40205.988285805106,0.00824739760324819,0.003270563475958524,0.00019623381579817928
225,Vembayam__Thiruvananthapuram,3,38629.99966164881,0.00023885349064376517,9.386574829462911e-05,5.631944903885206e-06
226,Venganoor__Thiruvananthapuram,3,35962.99926157273,0.0005207137887306637,0.00020539007478203133,1.2323404518846614e-05
227,Vettoor__Thiruvananthapuram,3,18703.999916832665,5.8706850316513704e-05,2.3075929308756e-05,1.3845557593001933e-06
228,Vilappil__Thiruvananthapuram,3,36211.998839341635,0.0008177007459878802,0.0003235449195347997,1.9412695250763743e-05
229,Vilavoorkal__Thiruvananthapuram,3,31760.999254555358,0.0005255254018681848,0.00020747098235970104,1.2448258978466644e-05
230,Vithura__Thiruvananthapuram,3,26248.999320444527,0.00047901131805708593,0.00018919260055080215,1.1351556070160597e-05
231,Amboori__Thiruvananthapuram,4,15917.282478989242,1.6234483798792434,2.0534886195971254,1.0405840112801055
232,Anad__Thiruvananthapuram,4,31686.999223228126,0.0004905022147148196,0.00025577842968927886,3.0491228570772034e-05
233,Anchuthengu__Thiruvananthapuram,4,17395.999887334547,7.13324521989967e-05,3.6937863709137816e-05,4.395140631395989e-06
234,Andoorkonam__Thiruvananthapuram,4,30780.99963273947,0.0002327616813989757,0.00012020615875775576,1.4292692418587908e-05
235,Aruvikkara__Thiruvananthapuram,4,33395.99886883257,0.0007137672642322971,0.0003729216090200682,4.447855802065708e-05
236,Aryanad__Thiruvananthapuram,4,26360.998018434646,0.0012489221011298072,0.0006545158860044331,7.81273693649874e-05
237,Aryancodu__Thiruvananthapuram,4,24327.991310133424,0.005459742104477684,0.002885003648858091,0.0003451208262955479
238,Athiyannoor__Thiruvananthapuram,4,26972.998894631517,0.0006978887598032154,0.00036407386269041544,4.3405859973215295e-05
239,Attingal(M)__Thiruvananthapuram,4,37435.99954629419,0.0002861576583703489,0.00014968897807025213,1.785917863489896e-05
240,Azhoor__Thiruvananthapuram,4,27389.999737215567,0.00016640038345694646,8.613593334607029e-05,1.0248114352308173e-05
241,Balaramapuram__Thiruvananthapuram,4,36133.99837376827,0.0010260041208846656,0.0005362609995316998,6.396661266487066e-05
242,Chemmaruthi__Thiruvananthapuram,4,32443.999785077478,0.00013605413077420135,7.048111097660383e-05,8.387276557433448e-06
