iName,1.0,2.0,3.0,4.0,5.0,6.0
Budhannur__Alappuzha,Budhannur__Alappuzha (16784.04),Mannar__Alappuzha (119.04662969232157),Mavelikkara(M)__Alappuzha (92.52406855686763),Puliyoor__Alappuzha (85.81499112017538),ChennithalaThriperunthura__Alappuzha (80.5016981475536),Thiruvalla(M)__Pathanamthitta (58.73640884711671)
Bysonvalley__Idukki,Bysonvalley__Idukki (13383.36),Rajakkad__Idukki (36.17002785425088),Konnathadi__Idukki (26.778488572935906),Vellathooval__Idukki (25.247076450144448),Rajakumari__Idukki (19.131753892981887),Devikulam__Idukki (14.631530273123454)
Chadayamangalam__Kollam,Chadayamangalam__Kollam (21574.08),Thiruvananthapuram(C)__Thiruvananthapuram (83.0935764636664),Kollam(C)__Kollam (63.519442287182706),Nilamel__Kollam (39.84073986991235),Ittiva__Kollam (35.636046051854635),Elamadu__Kollam (33.53095123050693)
Chakkittapara__Kozhikode,Chakkittapara__Kozhikode (20242.56),Kozhikkode(C)__Kozhikode (93.94488669197632),Changaroth__Kozhikode (31.6552355369599),Maruthonkara__Kozhikode (28.42024633927309),Kavilumpara__Kozhikode (20.563353131867864),Koyilandi(M)__Kozhikode (20.28589678813291)
Chakkupallam__Idukki,Chakkupallam__Idukki (19961.76),Vandanmedu__Idukki (336.1896133921856),Vandiperiyar__Idukki (69.17382983218755),Ayyappankovil__Idukki (66.17083960710009),Thiruvananthapuram(C)__Thiruvananthapuram (55.81168356605179),Karunapuram__Idukki (43.071231777300454)
Chalakkudi(M)__Thrissur,Chalakkudi(M)__Thrissur (45067.75),Aloor__Thrissur (404.2481483873336),Thrissur(C)__Thrissur (297.3577677366777),Kodakara__Thrissur (226.78601404846984),Meloor__Thrissur (193.56694863450363),Kadukutty__Thrissur (164.7133258226335)
Chalavara__Palakkad,Chalavara__Palakkad (21354.06),Shornur(M)__Palakkad (241.27159452762393),Cherppulassery (M)__Palakkad (130.43202708701617),Nellaya__Palakkad (120.4040017379062),Ananganadi__Palakkad (103.75464356375932),Ottappalam(M)__Palakkad (91.6616854616274)
Chalissery__Palakkad,Chalissery__Palakkad (22056.58),Kadavalloor__Thrissur (200.51187441023043),Pattithara__Palakkad (158.3251141458043),Kappur__Palakkad (150.4095628842663),Nagalasserry__Palakkad (127.93975384349275),Thrissur(C)__Thrissur (114.44663397351826)
Chaliyar__Malappuram,Chaliyar__Malappuram (4198.74),Kozhikkode(C)__Kozhikode (52.15703424219708),Nilambur(M)__Malappuram (42.44570157709189),Chungathara__Malappuram (17.23937843853437),Manjeri(M)__Malappuram (13.061799095577156),Koodaranji__Kozhikode (10.312449856311686)
Champakkulam__Alappuzha,Champakkulam__Alappuzha (15214.08),Alappuzha(M)__Alappuzha (66.71286116875342),Nedumudi__Alappuzha (35.5036024972764),Ramankari__Alappuzha (24.44893339247072),Kottayam(M)__Kottayam (22.113029532406138),Changanassery(M)__Kottayam (18.461327985071314)
Changanassery(M)__Kottayam,Changanassery(M)__Kottayam (43393.35),Vazhappally__Kottayam (848.7008563365354),Payippad__Kottayam (439.46084663383414),Thrikodithanam__Kottayam (286.28031947797353),Thiruvalla(M)__Pathanamthitta (239.9128200364217),Kottayam(M)__Kottayam (180.36076841209606)
Changaroth__Kozhikode,Changaroth__Kozhikode (29217.37),Kozhikkode(C)__Kozhikode (212.21854895194764),Perambra__Kozhikode (198.58488779656895),Maruthonkara__Kozhikode (164.46224461723352),Koothali__Kozhikode (164.1842179597522),Velom__Kozhikode (144.75574850442118)
Chapparapadavu__Kannur,Chapparapadavu__Kannur (30357.12),Kannur(C)__Kannur (108.75125888130559),Alakode__Kannur (84.64918844231694),Thaliparambu(M)__Kannur (57.85649013131711),Pariyaram__Kannur (47.0049140765403),Payyannur(M)__Kannur (43.13370923214843)
Chathamangalam__Kozhikode,Chathamangalam__Kozhikode (44820.48),Kozhikkode(C)__Kozhikode (498.16372926044755),Mukkam(M)__Kozhikode (209.08423307660738),Koduvalli(M)__Kozhikode (139.06588096185686),Kunnamangalam__Kozhikode (111.96079121186351),Mavoor__Kozhikode (102.67212925067288)
Chathanoor__Kollam,Chathanoor__Kollam (26012.35),Kollam(C)__Kollam (436.161081086504),Adichanalloor__Kollam (376.13801680318926),Chirakkara__Kollam (206.5062529267653),Kalluvathukkal__Kollam (131.11009151183544),Paravoor(M)__Kollam (122.68821846062644)
Chavakkad(M)__Thrissur,Chavakkad(M)__Thrissur (3638.18),Thrissur(C)__Thrissur (34.45389921493478),Guruvayur(M)__Thrissur (27.2004404657323),Kadappuram__Thrissur (22.014455955495542),Punnayoor__Thrissur (21.27155208452851),Orumanayoor__Thrissur (12.732250745587635)
Chavara__Kollam,Chavara__Kollam (38816.05),Kollam(C)__Kollam (1148.812929779377),Panmana__Kollam (400.1556450956031),Thevalakkara__Kollam (282.9913759915615),Karunagappally(M)__Kollam (196.54252188672453),Thekkumbhagam__Kollam (180.59067434288866)
Chazhoor__Thrissur,Chazhoor__Thrissur (28558.18),Thrissur(C)__Thrissur (133.35976840924042),Thannyam__Thrissur (46.91063328401524),Cherppu__Thrissur (30.281619486847845),Iringalakkuda(M)__Thrissur (30.270737520519948),Paralam__Thrissur (27.55391036941235)
Cheekkod__Malappuram,Cheekkod__Malappuram (6045.12),Kozhikkode(C)__Kozhikode (54.90988169976303),Kondotty(M)__Malappuram (20.215950176798106),Manjeri(M)__Malappuram (7.555432828514314),Mukkam(M)__Kozhikode (6.778143235658983),Kodiyathur__Kozhikode (6.645340283056628)
Chekkyad__Kozhikode,Chekkyad__Kozhikode (22063.86),Thriprangottur__Kannur (278.3785844239426),Valayam__Kozhikode (239.96898107520732),Panoor(M)__Kannur (153.3946881959081),Kunnothuparambu__Kannur (99.52280512372784),Nadapuram__Kozhikode (92.15103073883206)
Chelakkara__Thrissur,Chelakkara__Thrissur (36809.5),Thrissur(C)__Thrissur (355.65613583697996),Ottappalam(M)__Palakkad (192.34812101218674),Kondazhy__Thrissur (186.37869906580693),Pazhayannoor__Thrissur (170.61831614727956),Panjal__Thrissur (143.07513041634888)
Chelambra__Malappuram,Chelambra__Malappuram (6440.98),Kozhikkode(C)__Kozhikode (193.71234958259504),Ramanattukara(M)__Kozhikode (94.30228569774833),Kadalundi__Kozhikode (37.807771412259896),Parappanangadi(M)__Malappuram (24.798729931353876),Kondotty(M)__Malappuram (22.02492997105622)
Chelannur__Kozhikode,Chelannur__Kozhikode (37034.270000000004),Kozhikkode(C)__Kozhikode (1674.9608347719752),Kakkodi__Kozhikode (386.9237010216512),Thalakulathur__Kozhikode (140.5113097977908),Kakkur__Kozhikode (118.7258759604877),Kuruvattur__Kozhikode (103.92539477036024)
Chellanam__Ernakulam,Chellanam__Ernakulam (34033.09),Kumbalangy__Ernakulam (861.4202155408072),Aroor__Alappuzha (364.1243486480972),Kochi(C)__Ernakulam (175.98166240757266),Thrippunithura(M)__Ernakulam (138.2933352483469),Marad(M)__Ernakulam (130.74540565795377)
Chemancherry__Kozhikode,Chemancherry__Kozhikode (31685.29),Kozhikkode(C)__Kozhikode (977.1026910424098),Koyilandi(M)__Kozhikode (251.71006723217738),Atholi__Kozhikode (251.54383597915697),Chengottukavu__Kozhikode (204.37655059394967),Thalakulathur__Kozhikode (170.52755005318505)
Chembilod__Kannur,Chembilod__Kannur (32946.24),Kannur(C)__Kannur (704.4471085301433),Peralasseri__Kannur (84.63861741256102),Munderi__Kannur (46.58256367081632),Kadamboor__Kannur (41.24492010782414),Anjarakandi__Kannur (37.49258582134997)
Chemmanad__Kasaragod,Chemmanad__Kasaragod (49819.770000000004),Kasaragod(M)__Kasaragod (1583.5207810134796),Uduma__Kasaragod (849.9698757914322),Chengala__Kasaragod (408.8401221233767),Pallikkara__Kasaragod (296.9773978881914),Madhur__Kasaragod (220.03988654969677)
Chemmaruthi__Thiruvananthapuram,Chemmaruthi__Thiruvananthapuram (29524.04),Thiruvananthapuram(C)__Thiruvananthapuram (274.8416952059668),Kollam(C)__Kollam (257.42360057540384),Elakamon__Thiruvananthapuram (193.6861760020563),Navayikkulam__Thiruvananthapuram (175.29321553393325),Ottoor__Thiruvananthapuram (137.4610970853933)
Chempu__Kottayam,Chempu__Kottayam (19154.59),Maravanthuruth__Kottayam (230.98945451011775),Amballur__Ernakulam (158.17995549652522),Udayanapuram__Kottayam (68.19971801898875),Panavally__Alappuzha (66.8366379519936),Vaikom(M)__Kottayam (63.01697270747685)
Chendamangalam__Ernakulam,Chendamangalam__Ernakulam (26686.66),Chittattukara__Ernakulam (376.0324693922812),North Paravoor(M)__Ernakulam (316.7152530718991),Kodungalloor(M)__Thrissur (264.17212140254424),Puthenvelikara__Ernakulam (241.3775786653365),Vadakkekara__Ernakulam (170.0972579934111)
Chengala__Kasaragod,Chengala__Kasaragod (51670.71),Kasaragod(M)__Kasaragod (807.3925365679113),Chemmanad__Kasaragod (577.5939658315382),Madhur__Kasaragod (480.7338534084735),Badiyaduka__Kasaragod (459.64236294872615),Muliyar__Kasaragod (321.83458157625284)
Chengalayi__Kannur,Chengalayi__Kannur (27808.690000000002),Kannur(C)__Kannur (324.2776581953355),Sreekandapuram(M)__Kannur (285.34924444652853),Kurumathur__Kannur (188.655308209898),Thaliparambu(M)__Kannur (128.29369360472776),Anthoor(M)__Kannur (98.25848160264184)
Chengamanadu__Ernakulam,Chengamanadu__Ernakulam (25459.98),Aluva(M)__Ernakulam (396.5889972687755),Nedumbassery__Ernakulam (232.26400392187648),Angamali(M)__Ernakulam (123.58977028778365),Keezhmadu__Ernakulam (104.66014751595145),Kadungalloor__Ernakulam (98.39214864975575)
Chengannur(M)__Alappuzha,Chengannur(M)__Alappuzha (22527.36),Thiruvalla(M)__Pathanamthitta (51.3341156576432),Eraviperoor__Pathanamthitta (39.763891793611826),Mulakuzha__Alappuzha (38.941302578672406),Aranmula__Pathanamthitta (35.73376570361751),Puliyoor__Alappuzha (30.24471905334135)
Chengottukavu__Kozhikode,Chengottukavu__Kozhikode (24379.809999999998),Koyilandi(M)__Kozhikode (648.2748144076413),Kozhikkode(C)__Kozhikode (432.0261567285077),Chemancherry__Kozhikode (187.03724236802657),Ulliyeri__Kozhikode (130.92654028699818),Atholi__Kozhikode (92.43069858895828)
Chenkal__Thiruvananthapuram,Chenkal__Thiruvananthapuram (35082.24),Thiruvananthapuram(C)__Thiruvananthapuram (269.14323500092803),Neyyattinkara(M)__Thiruvananthapuram (238.94184273727248),Parassala__Thiruvananthapuram (122.9104010382672),Karode__Thiruvananthapuram (95.08573766814054),Kollayil__Thiruvananthapuram (87.04240258028983)
Chennam Pallipuram__Alappuzha,Chennam Pallipuram__Alappuzha (25731.16),Vaikom(M)__Kottayam (299.29135419101857),Cherthala (M)__Alappuzha (204.39427251371677),Vayalar__Alappuzha (182.37263432705475),TV Puram__Kottayam (104.79674326781299),Pattanakkad__Alappuzha (81.90164449299321)
Chenneerkara__Pathanamthitta,Chenneerkara__Pathanamthitta (17402.84),Omalloor__Pathanamthitta (111.07663467821628),Pathanamthitta(M)__Pathanamthitta (103.57017731822212),Pandalam(M)__Pathanamthitta (103.14585031382313),Kulanada__Pathanamthitta (69.07057595860537),Elanthoor__Pathanamthitta (68.8665371457039)
ChennithalaThriperunthura__Alappuzha,ChennithalaThriperunthura__Alappuzha (26482.56),Mannar__Alappuzha (129.67279486151546),Mavelikkara(M)__Alappuzha (99.18686227222621),Pallipad__Alappuzha (60.418115267866696),Chettikulangara__Alappuzha (36.33047747863738),Kayamkulam(M)__Alappuzha (35.9400552913483)
Cheppad__Alappuzha,Cheppad__Alappuzha (19249.92),Pathiyoor__Alappuzha (67.0325953580407),Kayamkulam(M)__Alappuzha (61.53334578110606),Chettikulangara__Alappuzha (60.74429098426108),Pallipad__Alappuzha (48.52468782569149),Chingoli__Alappuzha (34.88377047852808)
Cheranallur__Ernakulam,Cheranallur__Ernakulam (27840.54),Eloor(M)__Ernakulam (778.970885295764),Thrikkakkara(M)__Ernakulam (198.96703506209292),Varapuzha__Ernakulam (178.88152647875822),Kadamakkudy__Ernakulam (136.5938711553493),Kochi(C)__Ernakulam (119.25560498363076)
Cheriyamundam__Malappuram,Cheriyamundam__Malappuram (5107.83),Thanur(M)__Malappuram (39.14096433081469),Kozhikkode(C)__Kozhikode (33.210076103975005),Thirur(M)__Malappuram (30.188640927538128),Valavannoor__Malappuram (26.926259620269214),Kottakkal(M)__Malappuram (25.28547332403073)
Cheriyanad__Alappuzha,Cheriyanad__Alappuzha (20036.38),Thazhakkara__Alappuzha (159.21129533343034),Ala__Alappuzha (111.04851117844127),Mavelikkara(M)__Alappuzha (107.44638173495424),Puliyoor__Alappuzha (106.26848712526615),Chengannur(M)__Alappuzha (69.53658619088502)
Cherode__Kozhikode,Cherode__Kozhikode (34802.95),Vadakara(M)__Kozhikode (1035.1192373808865),Onchiyam__Kozhikode (361.7918175230832),Eramala__Kozhikode (290.0938178873795),Villiyappally__Kozhikode (158.76601823930784),Panoor(M)__Kannur (114.8253809442041)
Cherppu__Thrissur,Cherppu__Thrissur (36357.02),Thrissur(C)__Thrissur (209.80171446644133),Iringalakkuda(M)__Thrissur (72.31388853364054),Vallachira__Thrissur (51.03359109270108),Paralam__Thrissur (36.47412007956098),Chazhoor__Thrissur (26.135455121352567)
Cherppulassery (M)__Palakkad,Cherppulassery (M)__Palakkad (31758.09),Nellaya__Palakkad (394.4770476617652),Trikkadeeri__Palakkad (148.63429318943608),Perinthalmanna(M)__Malappuram (139.8029225938231),Thrissur(C)__Thrissur (94.83971194353676),Shornur(M)__Palakkad (91.35151320306977)
Cherthala (M)__Alappuzha,Cherthala (M)__Alappuzha (41702.57),Cherthala South__Alappuzha (488.75333096705094),Thanneermukkam__Alappuzha (401.76026276982327),Vayalar__Alappuzha (242.1834387919357),Kadakkarapalli__Alappuzha (167.7767542420836),Alappuzha(M)__Alappuzha (162.09910800647145)
Cherthala South__Alappuzha,Cherthala South__Alappuzha (36492.82),Cherthala (M)__Alappuzha (961.8076819823523),Mararikulam North__Alappuzha (228.4543423261008),Alappuzha(M)__Alappuzha (172.68060403166888),Kanjikkuzhi__Alappuzha (151.69367063807556),Kadakkarapalli__Alappuzha (137.16857770801127)
Cherukavu__Malappuram,Cherukavu__Malappuram (6804.98),Kozhikkode(C)__Kozhikode (225.21246045766324),Ramanattukara(M)__Kozhikode (82.65461005920753),Kondotty(M)__Malappuram (28.344640962483215),Olavanna__Kozhikode (27.803381022945484),Perumanna__Kozhikode (19.05465634719991)
Cherukol__Pathanamthitta,Cherukol__Pathanamthitta (11925.62),Naranganam__Pathanamthitta (23.148581743649004),Ayiroor__Pathanamthitta (14.940617473938985),Pathanamthitta(M)__Pathanamthitta (12.301891167357159),Ranni__Pathanamthitta (10.448450847472696),Kozhancherry__Pathanamthitta (5.719743767101554)
Cherukunnu__Kannur,Cherukunnu__Kannur (14661.01),Mattool__Kannur (171.56376455287167),Kannur(C)__Kannur (149.4732460580052),Kannapuram__Kannur (109.05394597414909),Madayi__Kannur (97.20913722686852),Ezhome__Kannur (90.5033115005992)
Cherunniyoor__Thiruvananthapuram,Cherunniyoor__Thiruvananthapuram (16483.74),Thiruvananthapuram(C)__Thiruvananthapuram (164.74347391307043),Vettoor__Thiruvananthapuram (162.1522806615495),Manampoor__Thiruvananthapuram (124.6768143951702),Chemmaruthi__Thiruvananthapuram (108.01583554533788),Kollam(C)__Kollam (96.2370829711236)
Cherupuzha__Kannur,Cherupuzha__Kannur (27967.03),East Eleri__Kasaragod (261.7651452637603),Alakode__Kannur (238.9663959231958),Kannur(C)__Kannur (157.796264343709),Udayagiri__Kannur (89.12541589778546),Peringom-Vayakkara__Kannur (88.574949223635)
Cheruthana__Alappuzha,Cheruthana__Alappuzha (11697.14),Karuvatta__Alappuzha (102.52394267939282),Harippad(M)__Alappuzha (63.7556255382306),Veeyapuram__Alappuzha (58.96443287796616),Edathwa__Alappuzha (37.37630320105824),Alappuzha(M)__Alappuzha (35.4921470694804)
Cheruthazham__Kannur,Cheruthazham__Kannur (28761.04),Payyannur(M)__Kannur (114.16235051868595),Madayi__Kannur (52.2653707490484),Kunjimangalam__Kannur (49.30218382059689),Kannur(C)__Kannur (37.71176208866957),Ezhome__Kannur (27.292309426256825)
Cheruvannur__Kozhikode,Cheruvannur__Kozhikode (21283.08),Kozhikkode(C)__Kozhikode (144.32649358774668),Thiruvallur__Kozhikode (134.05352316197815),Meppayur__Kozhikode (125.3904834848853),Vadakara(M)__Kozhikode (111.02669896094274),Perambra__Kozhikode (106.54998588596644)
Cheruvathur__Kasaragod,Cheruvathur__Kasaragod (26337.6),Nileswaram(M)__Kasaragod (424.0874024562331),Kanjangad(M)__Kasaragod (119.48872455088092),Pilicode__Kasaragod (79.92257119139124),Padanna__Kasaragod (54.31631502768579),Payyannur(M)__Kannur (50.13921594995295)
Chettikulangara__Alappuzha,Chettikulangara__Alappuzha (35995.2),Kayamkulam(M)__Alappuzha (190.6588584673006),Mavelikkara(M)__Alappuzha (179.83516991008025),Pathiyoor__Alappuzha (130.500818021464),MavelikkaraThekkekara__Alappuzha (66.17313880571521),Cheppad__Alappuzha (57.206491605163635)
Chingoli__Alappuzha,Chingoli__Alappuzha (13632.71),Karthikapalli__Alappuzha (151.32825983598644),Cheppad__Alappuzha (84.00224427428698),Muthukulam__Alappuzha (81.41433154701596),Harippad(M)__Alappuzha (80.38576238939503),Kayamkulam(M)__Alappuzha (69.61899076275145)
Chinnakkanal__Idukki,Chinnakkanal__Idukki (10513.23),Rajakumari__Idukki (74.50913216210253),Santhanpara__Idukki (56.519511134606546),Devikulam__Idukki (52.17717567787245),Thiruvananthapuram(C)__Thiruvananthapuram (23.65670922930059),Bysonvalley__Idukki (22.395097686142503)
Chirakadav__Kottayam,Chirakadav__Kottayam (35440.72),Kanjirapally__Kottayam (114.47615224475312),Vazhoor__Kottayam (36.15329716077018),Parathodu__Kottayam (20.248184870906755),Kottayam(M)__Kottayam (17.128870828434497),Manimala__Kottayam (15.80815187221333)
Chirakkal__Kannur,Chirakkal__Kannur (43776.96),Kannur(C)__Kannur (898.0866426770721),Azheeikkode__Kannur (126.46154310532603),Pappinisseri__Kannur (119.89109945059965),Valapattanam__Kannur (104.02508451291537),Narath__Kannur (76.83079053626147)
Chirakkara__Kollam,Chirakkara__Kollam (20628.79),Kollam(C)__Kollam (319.54472253221655),Chathanoor__Kollam (216.56735891174466),Paravoor(M)__Kollam (176.04306257220796),Kalluvathukkal__Kollam (156.8235090066563),Poothakulam__Kollam (121.04556027562546)
Chirayinkeezhu__Thiruvananthapuram,Chirayinkeezhu__Thiruvananthapuram (27215.37),Thiruvananthapuram(C)__Thiruvananthapuram (521.6185164268662),Kizhuvilam__Thiruvananthapuram (336.8006028569878),Attingal(M)__Thiruvananthapuram (203.00725949920974),Azhoor__Thiruvananthapuram (201.55216447363594),Kadakkavoor__Thiruvananthapuram (150.42793621852417)
Chithara__Kollam,Chithara__Kollam (44475.34),Thiruvananthapuram(C)__Thiruvananthapuram (168.46156008413476),Pangod__Thiruvananthapuram (53.14073154891594),Kollam(C)__Kollam (40.06597090002047),Kummil__Kollam (35.27480761390192),Kadakkal__Kollam (32.295011517950726)
Chittar__Pathanamthitta,Chittar__Pathanamthitta (15864.0),Thiruvananthapuram(C)__Thiruvananthapuram (25.108270841333734),Erumeli__Kottayam (24.963953042305064),Ranni Perunnadu__Pathanamthitta (23.251711403001394),Kollam(C)__Kollam (21.2810455163633),Vechuchira__Pathanamthitta (15.68648307443124)
Chittariparambu__Kannur,Chittariparambu__Kannur (21728.98),Pattiom__Kannur (172.44972045164266),Kuthuparambu(M)__Kannur (164.25843535199013),Kannur(C)__Kannur (145.420300541459),Malur__Kannur (125.27075750993004),Mangattidam__Kannur (92.47203616473215)
Chittattukara__Ernakulam,Chittattukara__Ernakulam (28485.73),North Paravoor(M)__Ernakulam (923.9658738445179),Chendamangalam__Ernakulam (309.61003993220396),Pallippuram__Ernakulam (176.1197504035324),Vadakkekara__Ernakulam (163.49614232560486),Kodungalloor(M)__Thrissur (144.75917641726434)
Chittoor-Thathamangalam(M)__Palakkad,Chittoor-Thathamangalam(M)__Palakkad (29391.18),Palakkad(M)__Palakkad (334.32762635875815),Polpulli__Palakkad (201.93660477784863),Peruvembu__Palakkad (173.51988913548445),Pattancherry__Palakkad (169.83294128602947),Puthunagaram__Palakkad (115.97037956484746)
Chokkadu__Malappuram,Chokkadu__Malappuram (6086.4),Kozhikkode(C)__Kozhikode (18.43749818621096),Nilambur(M)__Malappuram (12.92810172715185),Manjeri(M)__Malappuram (10.065611133275981),Kalikavu__Malappuram (8.348701098329832),Amarambalam__Malappuram (7.823919462352599)
Chokli__Kannur,Chokli__Kannur (25857.65),Panoor(M)__Kannur (917.4968870575227),Mahe (368.26044467284476),Thalasseri(M)__Kannur (209.69682077333286),Azhiyur__Kozhikode (91.83830288416455),New Mahe__Kannur (90.53768721986548)
Choondal__Thrissur,Choondal__Thrissur (31138.559999999998),Thrissur(C)__Thrissur (194.16103613221415),Kandanasseri__Thrissur (81.89988759891527),Kaiparambu__Thrissur (62.81663816347479),Chowannoor__Thrissur (61.37829103076215),Veloor__Thrissur (50.94905316898822)
Choornikkara__Ernakulam,Choornikkara__Ernakulam (29798.86),Aluva(M)__Ernakulam (347.22289726535485),Kadungalloor__Ernakulam (316.447674492949),Eloor(M)__Ernakulam (230.68206672848285),Edathala__Ernakulam (222.59404632967974),Thrikkakkara(M)__Ernakulam (190.81584834744555)
